linking_and_loading/PLT&GOT [ LD_DEBUG=symbols ./hello > temp.txt                                                master * ] 12:04 上午
     23220:     symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
     23220:     symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
     23220:     symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
     23220:     symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
     23220:     symbol=__vdso_clock_getres;  lookup in file=linux-vdso.so.1 [0]
     23220:     symbol=_res;  lookup in file=./hello [0]
     23220:     symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=stderr;  lookup in file=./hello [0]
     23220:     symbol=stderr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=error_one_per_line;  lookup in file=./hello [0]
     23220:     symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__morecore;  lookup in file=./hello [0]
     23220:     symbol=__morecore;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__key_encryptsession_pk_LOCAL;  lookup in file=./hello [0]
     23220:     symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__libpthread_freeres;  lookup in file=./hello [0]
     23220:     symbol=__libpthread_freeres;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__libpthread_freeres;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     23220:     symbol=__progname_full;  lookup in file=./hello [0]
     23220:     symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__ctype32_tolower;  lookup in file=./hello [0]
     23220:     symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=_rtld_global;  lookup in file=./hello [0]
     23220:     symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=_rtld_global;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     23220:     symbol=__progname;  lookup in file=./hello [0]
     23220:     symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=argp_err_exit_status;  lookup in file=./hello [0]
     23220:     symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=mallwatch;  lookup in file=./hello [0]
     23220:     symbol=mallwatch;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__rcmd_errstr;  lookup in file=./hello [0]
     23220:     symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__libc_enable_secure;  lookup in file=./hello [0]
     23220:     symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     23220:     symbol=_res_hconf;  lookup in file=./hello [0]
     23220:     symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=malloc;  lookup in file=./hello [0]
     23220:     symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=getdate_err;  lookup in file=./hello [0]
     23220:     symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=svcauthdes_stats;  lookup in file=./hello [0]
     23220:     symbol=svcauthdes_stats;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__tzname;  lookup in file=./hello [0]
     23220:     symbol=__tzname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=__timezone;  lookup in file=./hello [0]
     23220:     symbol=__timezone;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=_rtld_global_ro;  lookup in file=./hello [0]
     23220:     symbol=_rtld_global_ro;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=_rtld_global_ro;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     23220:     symbol=__malloc_initialize_hook;  lookup in file=./hello [0]
     23220:     symbol=__malloc_initialize_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     23220:     symbol=optarg;  lookup in file=./hello [0]
